,,,,,,,,,,,,,,,,,,,,,
,№,Контрагент,,,,,,,,,договр,,МП,,,,,БУГАЛТЕРИЯ,,,
,175,204498384/1,"""ZEBU JAXON"" XK","Buxoro viloyati, Jondor tumani, Jondor shaharchasi С.Айний кучаси 17 уй",5822711,direktor,RAHMATOV JAMSHID JO‘RAYEVICH,,01095,20208000804302014001,206 от 14.07.2023,принито,Сайохат,,Бухоро,,,,,,
,176,305190734,"""OGABEK SHABNAM"" XK","Qoraqalpog'iston Respublikasi, Qo'ng'irot tumani, Qo'ng'irot shahri R.Abdullaev ko'chasi, 28-N-uy",913758282,direktor,AYBERGENOVA GULZIRA BAZARBAYEVNA,,00450,20208000100824062001,199 от 03.07.2023,принито,Гулсум,99/963-91-00,QONGIROT,,,,,230600,
,177,303061950,"""AL NASAFIY KAFOLAT FARM"" MCHJ","Qashqadaryo viloyati, Qarshi sh. 7-mitti tumani, 29-uy, 3-xona",912231213,direktor,TURAQULOV ALISHER ABSIYEVICH,,01095,20208000000417781001,24 от 12.01.2023,принито,Хусан,,Карши,,,,,,
,178,300613842,"""RAXMONOV NURBEK NASIMOVICH"" XK","Qashqadaryo viloyati, Kitob tumani, Kitob shahri Жуманазаров кучаси 24 уй",4634050,direktor,RAXMONOV NURBEK NASIMOVICH,,01048,20208000904656407001,294 от 23.01.2024,принито,Шохиста,,Карши,,,,,,
,179,303303592/1,"""GRAND PHARM TRADE"" MCHJ","Toshkent shahri, Olmazor tumani UZUMBOG`10-TOR KO`CHASI, 28A-UY",977699920,direktor,RAXIMOV ALISHER ABDUXAKIM O‘G‘LI,,01036,20208000000458557001,49 от 24.01.2023,принито,Хулкар,,Тошкент,,,,,,
,180,204299220,"""VISA GOLD"" MCHJ","Samarqand viloyati, Samarqand sh. Ali Qushchi ko'chasi, 6-manzil",915570202,direktor,RAVSHANOV AZIM AZAMATOVICH,,01176,20208000204227765001,141 от 14.04.2023,принито,Комил,,Самарканд,,,,,,
,181,303303592/1,"""GRAND PHARM TRADE"" MCHJ","Toshkent shahri, Olmazor tumani UZUMBOG`10-TOR KO`CHASI, 28A-UY",977699920,direktor,RAXIMOV ALISHER ABDUXAKIM O‘G‘LI,,01036,20208000000458557001,293 от 23.01.2024,принито,Сардор,,Тошкент,,,,,,
,182,300485053,"""XUDAYBERGAN RAMANOV"" MCHJ","Qoraqalpog'iston Respublikasi, Ellikkala tumani, Qirqqiz QFY Baymurat aholi punkti",613598720,direktor,RAMANOV NURNAZAR XUDAYBERGENOVICH,,00614,20208000704632140001,21 от 11.01.2023,принито,Дилфуза,,Ургенч,,,,,,
,183,201958866,"""AKRAM"" MCHJ","Samarqand viloyati, Samarqand tumani, Ohalik QFY Gulbog' mahallasi",905030800,direktor,AMANOVA DILRABO UKTAMOVNA,,00440,20208000600323497001,247 от 08.09.2023,принито,Азиз,,Самарканд,,,,,,
,184,204664867,"""ALBEN-FARM"" MCHJ","Namangan viloyati, Chust tumani, Chust shahri Serob MFY, Ipak yo'li ko'chasi, 93 uy",694233208,direktor,UBAYDULLAYEV MA’MURJON FAYZULLAYEVICH,,00491,20208000204280173001,145 от 17.04.2023,принито,Элмурод,,Наманган,,,,,,
,185,205024094,FARM STANDARD MCHJ,"Andijon viloyati, Andijon sh. A.Temur shoh ko`chasi, 16-uy",94/563-38-83,direktor,SADIROV MURODILJON SHAXOBIDINOVICH,,00083,20208000904527071001,"404 от 09,07,2024",принито,NAFISA,,ANDIJON,,,,,,
,186,306933306,"""AL IMRON SHIFO"" MCHJ","Farg'ona viloyati, Quva tumani, Baynalminal QFY Tojik qishlog`i, 48A-uy",913790807,direktor,MAXSUDOV DIYORBEK BOTIRALIYEVICH,,01037,20208000205152008001,408 от 15.07.2024,принито,GULSANAM,94/553-96-06,Фаргона,,,,,150100,
,187,304968477,"""BEST LIFE"" MCHJ","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi A.Navoiy ko'chasi, 1a-uy, 16-xonadon",905813771,direktor,MIRZAYEV BAXROMJON ISROILOVICH,,00083,20208000100785063001,414 от 25.07.2024,принито,Нодирахон,,Фаргона,,,,,,
,188,300985301,"""DILMUROD AZAMAT IQBOLI"" XK","Sirdaryo viloyati, Guliston tumani, Dehqonobod shaharchasi Do'stlik MFY",933243477,direktor,JUNAYEVA MAXSUDA ABIDJANOVNA ,,00364,20208000404742893001,415 от 29.07.2024,принито,Хулкар,,Тошкент,,,,,,
,189,204818404,"""SUMURUZ-ANDIZ"" xususiy korxonasi","Шаҳрисабз шаҳар, Тепарлик МФЙ, Ипак йўли кўчаси, 342 уй",914646998,direktor,KURBANOV SHOVKAT RUZIYEVICH ,,00450,20208000204331761001,416 от 30.07.2024,ожидания,Бунйод,,Карши,,,,,,
,190,202861591,"""MERKURIY"" MCHJ","Andijon viloyati, Shaxrixon tumani, Shaxrixon shahri Chinobod ko'chasi, 12-uy",952002233,direktor,ABDUG‘ANIYEV SALOXIDDIN BURXONBEK O‘G‘LI,,00083,20208000803993778001,417 от 31.07.2024,не отправрено,Хилола,,Андижон,,,,,,
,191,203697914,"""SHAXBOZ-2001"" XK","Yozyovon MFY, Mustaqillik ko'chasi, №104-uy  ",905607750,direktor,KARIMOV ANVARJON SHAKIROVICH,,00401,20208000304138760001,418 от 06.08.2024,принито,NODIRA,97/045-50-05,MARGILON,,,,,151100,
,192,301421836,"""SHAXZOD-BOYSUN FARM"" XK","Surxondaryo viloyati, Termiz sh. Журабоева кучаси 2 ""з"" уй",2451630,direktor,ASHURBOYEV RAVSHAN SAFAROVICH,,00491,20208000904830405001,68 от 01.02.2023,принито,Шахноза ,,Термиз,,,,,,
,193,,"""MADINA- FARM SINTEZ"" MCHJ","Buxoro viloyati, Buxoro sh. Bog`i Amir ko`chasi, 29-uy",909245435,direktor,SHADMANOV YUNUS XOTAMOVICH,,01082,20208000605018345001,326 от 05.03.2024,принито,хикматилла,,Карши,,,,,,
,194,305255668,"""SALIM FARM MARKET"" MCHJ","Sirdaryo viloyati, Guliston sh., Do'stlik QFY Abdullayev ko`chasi, 192 A-uy",972773131,direktor,AKRAMOV SALIMJON SOBIR O‘G‘L,,00440,20208000400833830001,419 от 06.08.2024,принито,хулкар ,,гулистон,,,,,,
,195,308926770,XASAN ZUXRA MEDFARM MCHJ,"Surxondaryo viloyati, Termiz sh. Baxt ko'chasi, 2/9-uy",997578256,direktor,ZOKIROV OZODBEK OTABEK O‘G‘LI,,01158,20208000605444901001,420 от 06.08.2024,принито,Шахноза ,,Термиз ,,,,,,
,196,207168753,"""TARAQQIYOT BIZNES PRO"" MCHJ","
Toshkent shahri, Yakkasaroy tumani Yakkasaroy ko'chasi, 54-uy",946258664,direktor,"
OTANAZAROV ORTIQBEK JALOLIDDIN O‘G‘LI ",,01046,20208000705025280001,278 от 19.12.2023,принито,,,,,,,,,
,197,301167123,XK KITOB ILXOM FARM,"Qashqadaryo viloyati, Kitob tumani, Kitob shahri Aliqushchi mahallasi, Muqumiy ko'chasi",975870741,direktor,SALOMOVA GULHAYO XAYRULLO QIZI,,00491,20208000404870197001,421 от 08.08.2024,ожидания,Бунёд,,Кашкадарё,,,,,,
,198,302518680,"""MEHRIGIYO FARM OLTIARIQ"" XK","Farg'ona viloyati, Oltiariq tumani, Chinor shaharchasi Чинортаги кучаси",5805240,direktor,ABDULLAYEVA MANZURAXON ABDULAZIZOVNA,,00502,20208000400246410001,422 от 08.08.2024,принито,Дилшод,,Фаргона,,,,93/642-04-84,,
,199,303430150,"""PHARM GATE GROUP"" MCHJ","Farg'ona viloyati, Farg'ona sh. Avesto ko'chasi, 1a-uy",939801151,direktor,MUSAYEV ADXAMJON URINBOYEVICH,,00083,20208000200493032001,423 от 09.08.2024,принито,САРДОР,99/002-05-67,Фаргона,,,,94/550-10-14,150100,
,200,306517008,"""TOSHLOQ SHIFO FAYZ IK"" XK","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi Uchqun (sobiq Ogahiy) ko'chasi",916664477,direktor,BOZORBOYEV ILXOM KAMILOVICH,,01037,20208000405091829001,424 от 13.08.2024,принито,Нодирахон,,Фаргона,,,,,,
,201,303320192,"""FAYZIOBOD FARM SERVIS"" XK","Farg'ona viloyati, Oltiariq tumani, Oqbo'yra shaharchasi Beruniy ko`chasi, 16-uy",911253208,direktor,TILLABOYEV ABDUG‘APPOR EGAMBERDIYEVICH,,00083,20208000300465641001,425 от 14.08.2024,принито,Дилшод,88/664-63-00,Фаргона вилояти Олтиариқ тумани,,,,,151200,
,202,305139423,"""MALIK DARMON PHARM"" MCHJ","Toshkent shahri, Olmazor tumani Talant ko'chasi, 1-uy, 2-xona",946360100,direktor,ABDULLAYEV ABDUMALIK ABDUXAKIMOVICH ,,01121,20208000700814644001,426 от 16.08.2024,принито,Даврон ,94/046-06-41,Тошкент ,,,FERUZA,97/442-53-02,,
,203,305162372,"""Zam-Zam Tib Shifo"" XK","Farg'ona viloyati, Marg'ilon shahri, Mustaqillik ko'chasi 675 -uy",916702288,direktor,Alisher Yoqubov Shavkatjon o'g'li,,01125,20208000500818240001,427 от 16.08.2024,ожидания,Нодирахон,,Фаргона,,,,,,
,204,300454012,"'FARG'ONA ZAFAR YOR ""XK","Farg'ona viloyati Farg'ona shaxar A,Qodiriy kochasi 4A uy",712255022,direktor,DUSMATOV SHERZOD ABDURAXIMOVICH,,00083,20208000904622175001,428 от 20.08.2024,не отправрено,SHAXZODA,,FARG'ONA,,,,,,
,205,307811274,"""BIZNES GOLD PLUS ""MCHJ",Qashqadaryo viloyati Qarshi shaxri  Otchopar MFY Shiroq kochasi 1-uy,981400909,direktor,Sherqulov Bobir Sadillo o'g'li,,01095,20208000405290270001,429 от 20.08.2024,принито,,,,,,,,,
,206,302936834,"""DOKTOR AKTIV""MCHJ","Farg'ona viloyati, Toshloq tumani, Sadda QFY H.Olimjon ko'chasi, 8-uy",911079797,DIrektor,XASANOV SAIDJON ISAQJON O‘G‘LI,,00083,20208000900324014001,430 от 21.08.2024,ожидания,GULSANAM,94/553-96-06,FARGONA,,,,,150100,
,207,301444507,"""AZIA SHER PARVOZ"" MCHJ","Yunusobod tumani TashGRES mavzesi, Posira MFY, 1-uy, 15-xona",333304666,DIrektor,JO‘RAYEV SHERZOD TURG‘UNOVICH,,01071,20208000204823969001,431 от 21.08.2024,принито,XOJIAKBAR ,,TOSHKENT,,,,,,
,208,308076754,"""F-M-S FARM""MCHJ","Sirdaryo viloyati, Guliston sh. Taraqqiyot MFY, Sayxun ko`chasi, 12-uy",982790909,DIrektor,TURDIYEV BEKZOD YASINAXUNOVICH,,00440,20208000805326725001,432 от 22.08.2024,принито,HULKAR,,SIRDARYO,,,,,,
,209,300726915,"""ILHOM ILYOS IQBOLI""OK","Farg'ona viloyati, Uchko'prik tumani, Uchko'prik QFY Ок олтин кишлоги",90/628-43-40,DIrektor,MAMAJONOV ILYOSJON BURXONOVICH,,01125,20208000904757276001,433 от 22.08.2024,принито,JAHONGIR,90/011-41-13,FARGONA,QO'QON,UCHKO'PRIK,,90/556-36-14/BUX  90/628-43-40(BRON),151600,
,210,301259507,"""GIYOH MALHAM SHIFO SERVIS"" XK","Sirdaryo viloyati, Guliston sh. Zarafshon ko`chasi, 25-uy",972757788,DIrektor,JIYENBAYEV TIMUR RUSTAMOVICH,,00364,20208000304791304001,107 от 03.03.2023,принито,HULKAR,94/580-06-86,SIRDARYO,GULISTON,,BUX/91/100-12-13,RAH/97/275-77-88,120100,
,211,305105480/G,"""SHOH BOBUR FARM""MCHJ","Farg'ona viloyati, Farg'ona sh. O'zbekiston ko'chasi, 9A-uy",905610902,DIrektor,ABDUBANOPOVA GULJAXON XOLJURAYEVNA,,00083,20208000100808473001,434 от 24.08.2024,ожидания,gulsanam,94/553-96-06,FARGONA,,,,,150100,
,212,200673352,"""SHAHRISABZ FARM"" MCHJ","Qashqadaryo viloyati,  Shahrisabz sh. Beruniy ko'chasi, 54-uy",973192266,DIrektor,QURBONOVA FERUZA TURDIALIYEVNA,,00083,20208000900355090001,435 от 26.08.2024,принито,BUNYOD,,QASHQADARYO,,,,,,
,213,302480787,"""TOSHLOQ UNIVARSAL TRADE""MCHJ","Farg'ona viloyati, Toshloq tumani, Toshloq shaharchasi Mexnat ko`chasi, 2A-uy",911244969,DIrektor,QURBONOVA FERUZA TURDIALIYEVNA,,00083,20208000605016681001,436 от 27.08.2024,принито,SARDOR,99/002-05-67,FARGONA,,,91/655-15-32,,150100,
,214,308086844,"""SAV MEGA PHARM 2021"" MCHJ","Sirdaryo viloyati, Guliston sh. Beruniy ko'chasi, 1-A uy ",999191619,DIrektor,XUDAYKULOV SARVAR SABIROVICH,,01125,20208000305330478001,437 от 27.08.2024,принито,HULKAR,,SIRDARYO,,,,,,
,215,203374739,"""DARMON DORI"" MCHJ","Andijon viloyati, Paxtaobod tumani, Ittifoq QFY Yangi yo'l ko'chasi, 187-uy",905437303,DIrektor,JALOLOV SADRIDIN SHAROBIDINOVICH ,,00083,20208000004076664001,439 от 27.08.2024,принито,OLTINOY,,ANDIJON,,,,,,
,216,311374565,"""AMIR-SHOX FARM"" MCHJ","Qashqadaryo viloyati, Qarshi sh. Otchopar mahallasi, Qarshi-Shahrisabz yo'li ko'chasi, 5/4-uy",998914659977,DIREKTOR,MIRZAYEV SHAHNUR BEGMAT O‘G‘LI,,01121,20208000007093637001,438 от 27.08.2024,принито,Хусан,,Кашкадарё,,,,,,
,217,205222728,"""SOG'LOM DUNYO"" XK","Surxondaryo viloyati, Muzrabot tumani, Xalqobod shaharchasi Sh.Boboyev mahallasi, raqmsiz uy, 5/4-uy ",945180580,DIREKTOR,G'aniyev Feruzbek Abdurashid  O'g'li,,00491,20208000604352916001,440от 30.08.2024,принито,AZIZA,93/794-30-29,TERMIZ,,,,,190100,
,218,304581525,"""OLTINSOY JANNAT"" XK""","Navoiy viloyati, Xatirchi tumani, Pulkan Shoir QFY Chilosh qishlog'i",942251594,DIREKTOR,YULDASHEV OXUNJON FARMON O‘G‘LI,,01125,20208000800721619001,441 от 30.08.2024,принито,ZUMRAD ,,NAVOIY,,,,,,
,219,302948534,"""RASHIDA FARM NUKUS"" MCHJ ","Qoraqalpog'iston Respublikasi,  Nukus sh., Nukus shahar hokimiyatiga qarashli shaharchalar X.Redjepov ko'chasi, 7-uy",913774658,DIREKTOR,KARIMOV MANSURJON XXX,,00083,20208000000331225001,442 от 05.09.2024,принито,ULZADA,,NUKUS,,,90/652-53-15,,,
,220,305174230,"""MEDICATED WORLD"" XK","Samarqand viloyati, Kattaqo'rg'on sh. Qoradaryo ko'chasi, 17-uy",945340700,DIREKTOR,TURSUNOVA GULNORA XXX,,00083,20208000500822105001,443 от 09.09.2024,ожидания,ZUMRAD ,,NAVOIY,,,,,,
,221,202295616,"""MIRAZIZ"" XK","Farg'ona viloyati, Uchko'prik tumani, Yangiqishloq shaharchasi Янгикишлок кишлоги",71/955-73-75,DIREKTOR,MAXMUDOVA UMIDA QODIROVNA,,01076,20208000703802627001,444 от 11.09.2024,ожидания,JAHONGIR,90/011-41-13,UCHKOPRIK ,,,,93/548-77-00,151600,
,222,205764440,"""IXLOS-FARM"" MCHJ","Toshkent shahri, Yashnobod tumani Shoxsanam ko'chasi, 2-uy",90/112-06-52,DIREKTOR,RUZIBAYEV IXTIYOR ALLANAZAROVICH,,00959,20208000504427561001,445 от 10.09.2024,ожидания,XOJIAKBAR ,,TOSHKENT,,,,,,
,223,308234074,"""ASH SHIFA PHARM"" MCHJ ","Farg'ona viloyati, Marg'ilon sh., Marg'ilon shahar xokimligiga qarashli shaharchalar Terak tagi ko`chasi, 26-uy",91/396-63-03,direktor,BURXONIDDINOV OMONILLO MUXAMMAD-ALI O‘G‘LI,,00083,20208000605355344001,446 от 10.09.2024,ожидания,Nodira,97/045-50-05,FARGONA,,,,,151100,
,224,302514591,"""FARM STANDART LYUKS"" MCHJ","Andijon viloyati, Andijon sh. Furqat ko`chasi, 5 a-uy ",91/487-48-48,direktor,MAMADALIYEV AKMAL AXMADALIYEVICH,,00083,20208000205023114001,447 от 10.09.2024,ожидания,OLTINOY,91/479-77-78,ANDIJON,,,,,170120,
,225,311235642,"""SADOQAT MEGA PHARM"" MCHJ","Samarqand viloyati, Payariq tumani, Payariq shahri Go'zal mahallasi, Bo'ston ko'chasi, 93-uy",90/013-22-99,direktor,RIZAYEVA SADOKAT VAXOBJONOVNA,,00318,20208000507042061001,448 от 10.09.2024,ожидания,Комил,,Самарканд,,,,,,
,226,301742279,"""SHERZOD BEKZOD FARM"" XK","Surxondaryo viloyati, Sherobod tumani, Sherobod shahri P.To'lakov ko'chasi, raqamsiz uy",76/592-07-58,direktor,XUDOYBERDIYEV BEGZOD OROLOVICH,,00450 ,20208000304875192001,449 от 11.09.2024,ожидания,AZIZA,,SURXONDARYO,,,,,,
,227,204621287,FAYZLI XIZMAT SERVIS,"Toshkent shahri, Mirzo Ulug'bek tumani Buyuk Ipak yo'li ko'chasi, 119-uy, 2-xonadon",71/268-82-18,direktor,BAYMURODOVA GAVHAROY MUXTOROVNA,,00423,20208000904274393001,450 от 11.09.2024,ожидания,HUSNIYABONU,,TOSHKENT,,,,,,
,228,301259507,"""GIYOX MALXAM SHIFO SERVIS"" XK","Sirdaryo viloyati, Guliston sh. Zarafshon ko`chasi, 25-uy",972757788,direktor,JIYENBAYEV TIMUR RUSTAMOVICH,,00364,20208000304791304001,451 от 16.09.2024,не отправрено,HULKAR,,GULISTON,,,,,,
,229,311436297,"""NAVOIY FARM 999"" MCHJ ","Navoiy viloyati, Karmana tumani, Yangiariq QFY Talqoq MFY, Qavala ko’chasi, 77/B-uy",99 7583003,direktor,TOG'OYEV ANVAR O’KTAMOVICH ,,01037,20208000507098547001,452 от 16.09.2024,принито,ZUMRAD ,,Navoiy,,,Nilufar,90/2350010,,
,230,306807414,"""ZAM-ZAM MED PHARM"" MCHJ","Namangan viloyati, Namangan sh., Yangi Namangan tumani Mingchinor MFY, Polikovskaya ko`chasi, 13-uy",907400022,direktor,RIZZAYEV IBROXIMJON ABDULNOSIR O`G`LI,,01085,20208000905135605001,453 от 17.09.2024,ожидания,Islomjon,99/795-58-97,Namangan,,,TOLQIN,91/343-75-70,160100,
,231,303039114,"""NAVOIY ULTRA DIAGNOSTIKA"" MCHJ ","Navoiy viloyati, Navoiy sh. Jasorat ko'chasi, 8-uy, 120-xonadon",906193551,direktor,NAZAROV ABDURAXMON ESANOVICH ,,00205  ,20208000800391309001,454 от 17.09.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,232,202229704,"""NIGINA - FARM"" XK","Surxondaryo viloyati, Jarqo'rg'on tumani, Jarqo'rg'on shahri Surxon soxili mahallasi, Shifokor ko'chasi 43-uy",975353111,direktor,KUVATOVA XADICHA NARBAYEVNA,,01037,20208000800501946001,455 от 19.09.2024,ожидания,shaxnoza ,,termiz,,,,,,
,233,310895338,"""SINDORBEK PHARM""",samarqand viloyati jomboy tumani Jomboy shaxri  Axmadjon Qurbonov maxallasi Sh.Burxonov 30-uy,99/679-53-07,direktor,RO‘ZIYEV KOMILJON ALISHER O‘G‘LI,,01133,20208000205711613001,456 от 23.09.2024,ожидания,,,,,,,,,
,234,303167604,"""SAXOVAT UNIVERSAL FARM"" MCHJ","Andijon viloyati, Shaxrixon tumani, Shaxrixon shahri Mullaboy MFY, Yorkent ko`chasi, 38 uy",939701414,direktor,YUSUPOV NURISLOMBEK UBAYDULLO O‘G‘LI,,00083,20208000900422145001,457 от 24.09.2024,ожидания,,,,,,,,,
,235,309917884,"""PLUS ECZANE"" MCHJ","Farg'ona viloyati, Marg'ilon sh., Marg'ilon shahar xokimligiga qarashli shaharchalar Mustaqillik ko'chasi, 315G-uy",975963688,direktor,SOBIROV XAYRULLA XOSHIMDJONOVICH,,00083,20208000405575541001,458 от 24.09.2024,ожидания,NODIRA ,,FARGONA,,,,,,
,236,305105480/N,"""SHOH BOBUR FARM""MCHJ ","Farg'ona viloyati, Farg'ona sh. O'zbekiston ko'chasi, 9A-uy",905610902,DIrektor,ABDUBANOPOVA GULJAXON XOLJURAYEVNA,,00083,20208000100808473001,459 от 25.09.2024,ожидания,NODIRA ,,FARGONA,,,Salohiddin,90/561-09-02      88/206-66-19,,
,237,307670942,JASUR KONIMEX FARM MCHJ,"Navoiy viloyati, Konimex tumani, Konimex shaharchasi Birlik MFY, Cho'lpon ko'chasi",939521170,direktor,MAMATKARIMOV RUSTAM XALILOVICH,,00446,20208000705270290001,460 от 25.09.2024,ожидания,ZUMRAD ,,Navoiy,,,,,,
,238,203493170,"""UMID-SA"" XK","Samarqand viloyati, Kattaqo'rg'on sh. Turkiston ko'chasi, 26-uy, 2-xona",664054609,direktor,"
DJONIYEV BAXTIYOR KAMALOVICH ",,00433,20208000504116155001,298 от 29.01.2024,ожидания,ZUMRAD ,,Navoiy,,,,,,
,239,308783864,"SINO SHIFOI KOMIL"" MCHJ","Farg'ona viloyati, Marg'ilon sh. Turkiston ko'chasi, 171-uy",905303555,direktor,TUXTASINOV KOMILJON XASANJONOVICH,,01037,20208000505428332001,461 от 25.09.2024,ожидания,NODIRA ,,FARGONA,,,,97/271-90-09,,
,240,304090930,"""MINOR FARM SAVDO"" XK","Surxondaryo viloyati, Jarqo'rg'on tumani, Jarqo'rg'on shahri Surxon Sohili mahallasi, O'zbekiston ko'chasi, 35-uy",937658381,direktor,ABDURASULOV SIROJIDDIN ABDUXOLIK O‘G‘LI,,00440,20208000500649349001,462 от 26.09.2024,ожидания,shaxnoza ,,termiz,,,,,,
,241,309625623,"""YADRO-MED FARM"" MCHJ ","Buxoro viloyati, Buxoro sh. Varaxsha mfy, Piridastgir ko'chasi, 7/6-uy, 18-xona",91 3111295,direktor,SATTOROV YUSUFBOY SOLIHOVICH,,01082,20208000205535774001,463 от 27.09.2024,ожидания,ZUMRAD ,,Navoiy,,,,,,
,242,303091068,"""ZOXIRBEK BIZNES"" MCHJ","Сырдарьинская область, ГОРОД ГУЛИСТАН, САЙХУН КУЧАСИ ХУДУДДИ 1 ",,direktor,KAYUMOV TOXIR NARZULLAYEVICH,,00450,20208000100403107001,09 от 07.01.2023,,XULKAR,94 580 06 86,GULISTON,,,,,120100,
,243,311329650,"""AMIR PHARMACY"" MCHJ","Toshkent shahri, Yashnobod tumani Birlashgan MFY, Birlashgan ko`chasi, 6 tor ko`chasi , 7-uy",90 062 06 89,direktor,ABDURASULOV ABDIRAUF ABDIVAIT O’G’LI,,01158,20208000107074863001,464 от 27.09.2024,ожидания,XOJIAKBAR ,,TOSHKENT,,,,,,
,244,310799930,"""BILLUR DAVO PHARM"" MCHJ"," Navoiy viloyati, Navoiy sh. Farovon MFY, M.Tarobiy ko‘chasi, 108A-uy, 100-xonadon ",90 6650159,direktor,TOSHEV ZIYODULLA YARASH O’G’LI ,,01148,20208000405698459001,465 от 30.09.2024,принито,ZUMRAD,,Navoiy,,,Oybek,990939805,,
,245,207183514,"""FLORA PHARM"" MCHJ","Toshkent shahri, Shayxontohur tumani S.Darboza ko'chasi, 4-uy, 87-xona",712443654,direktor,SHERMATOV BEKZOD RUSTAMOVICH,,01121,20208000600224800001,466 от 03.10.2024,не отправрено,даврон,,тошкент,,,,,,
,246,205519009,"""S-SAIDA-SHIFO"" MCHJ "," Самарканд Шаҳри А.Шохмурод Куча 
41 Уй",99893 342-34-42,direktor,,,00312 ,20208000404392959001,467 от 04.10.2024,ожидания,,,,,,,,,
,247,205137001, «ORIYO-MEHR»,": г. Самарканд, ул. А. Тимура №184 ",99893 720 17 71,direktor,,, 00491 ,20208000404340761001,468 от 04.10.2024,ожидания,,,,,,,,,
,248,309714339,"""KAPSULA 555"" MCHJ","Samarqand viloyati, Kattaqo'rg'on sh. Zarifobod mahallasi, O'zbekiston ko'chasi, 212-uy",91 628 8770,direktor,TUYCHIYEVA DILAFRUZ QODIRJON QIZI,,01037,20208000305547883001,469 от 07.10.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,249,308877342,"""DILFO'ZA FAYZ NUR BARAKASI 777"" MCHJ","Samarqand viloyati, Pastdarg'om tumani, Juma shahri Amir Temur mahallasi",99 2549370,direktor,RADJABOVA SHAXNOZA ABDUKAIMOVNA,,00083,20208000005466609001,470 от 07.10.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,250,307426025,"""SAIDAKMAL PHARM"" MCHJ","Navoiy viloyati, Karmana tumani, Karmana shaharchasi Navro`z ko`chasi, 31-uy",914037290,direktor,BOBOYEV JAMIL SUVONOVICH ,,00440,20208000505228350001,471 от 08.10.2024,принито,ZUMRAD,,Navoiy,,,,,,
,251,204146553,"MUNIRA FARM""   XK"," Samarqand viloyati, Ishtixon tumani,  Fayziobod, Qoraqishloq MFY, Alisher Navoiy  kochasi, 28 -uy",998903372232,direktor,,,00083,20208000504206178001,472 от 08.10.2024,принито,,,,,,,,,
,252,311325214,"""XALIQ DARIXANASI"" MCHJ","Qoraqalpog'iston Respublikasi, Nukus sh. Shimbay chayxana MFY, Mateke Jumanazarov ko'chasi , 92-uy, №5 CUN-xonadon",906500792,direktor,"
OTARBAYEV SALAMAT MAXSETBAYEVICH",,00450,20208000707112067001,473 от 11.10.2024,ожидания,ULZODA ,90/577-68-26,NUKUS,,,,,230100,
,253,201594854,"""SHIFO ARZON DORIXONA"" XK","Navoiy viloyati, Navoiy sh. Bunyodkor MFY, Abdulla Avloniy ko'chasi, 16 a-uy",90 6476660,direktor,OBLAQULOVA SALOMAT PARMONOVNA,,00199,202080001003 71804001,474 от 14.10.2024,ожидания,ZUMRAD,,Navoiy,,,Go'zal,50 7284212,,
,254,202981751,"""DILFUZA "" XK","Surxondaryo viloyati, Muzrabot tumani, Xalqobod shaharchasi Shaffof mahallasi, raqamsiz uy",915756761,direktor,XOLBOYEV JO‘RA XURRAMOVICH,,01032,20208000004009687001,475 от 18.10.2024,ожидания,AZIZA ,,TERMIZ,,,,,,
,255,302350379,"""OAZIS LEK FARM"" XK","Farg'ona viloyati, Uchko'prik tumani, Uchko'prik QFY Кораянток кишлоги",915756761,direktor,TO‘RAYEV BAXODIRJON TURSUNOVICH,,00433,20208000104996390001,476 от 18.10.2024,ожидания,,,,,,,,,
,256,308014165,"""LIDIYA FARM 999"" MCHJ ","Navoiy viloyati, Navoiy sh. Xoncharbog' MFY, M.Tarobiy ko'chasi, 122b-uy, 410-xonadon",99 6722906,direktor,JUMAYEVA AZIZA IBROHIMOVNA,,00491,20208000905318264001,477 от 18.10.2024,ожидания,ZUMRAD,,Navoiy,,,,,,
,257,300544074/1,«NIKA FARM SERVIS»,"г. Ташкент, Сергелийский район, 
ул. Безакчилик, д.18а",,direktor,,, 00873,2020 8000 3046 4010 5001,478 от 22.10.2024,ожидания,,,,,,,,,
,258,308830994,"""GIYOH 25 YIL"" MCHJ","Sirdaryo viloyati, Yangiyer sh. Bobur MFY, Bobur ko`chasi, 1-uy",977749011,direktor,RUSTAMOV AXRORJON AXATQUL O‘G‘LI,,01038,20208000205434091002,479 от 23.10.2024,ожидания,,,,,,,,,
,259,200176764,"""ABDULBOQI"" MCHJ","Farg'ona viloyati, Oltiariq tumani, Chinor shaharchasi Mustaqillik ko'chasi, 53-uy",912747047,direktor,MUXITDINOV DILMUROD XAMIDOVICH,,00502,20208000900210481001,480 от 23.10.2024,ожидания,,,,,,DILMUROD,90/301-23-03,,
,260,306800241,"""SOFORA MED"" MCHJ","Toshkent shahri, Yakkasaroy tumani Qushbegi ko'chasi, 20a-uy",995152424,direktor,UMAROV SHAVKATJON SHUXRATOVICH,,00974,20208000305136677001,481 от 24.10.2024,ожидания,,,,,,,90/584-82-22(BRON)90/984-44-38(BUX),,
